from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9230405,9230083,2,300,,
9230999,9230005,2,300,,
9230999,9230097,2,540,,
9230999,9230222,2,360,,
9245010,9245292,2,300,,
9245128,9245998,2,60,,
9245292,9245010,2,300,,
9245536,9245836,2,480,,
9245536,9245840,2,600,,
9245836,9245536,2,480,,
9245836,9245840,2,480,,
9245840,9245536,2,600,,
9245840,9245836,2,480,,
9245998,9245128,2,60,,
9260005,9260024,2,540,,
9260010,9260887,2,300,,
9260013,9260676,2,600,,
9260015,9260017,2,180,,
9260017,9260015,2,180,,
9260024,9260005,2,540,,
9260676,9260013,2,600,,
9260887,9260010,2,300,,
9275018,9275114,2,360,,
9275104,9275105,2,30,,
9275105,9275104,2,30,,
9275110,9275113,2,300,,
9275110,9275199,2,180,,
9275113,9275110,2,300,,
9275113,9275199,2,240,,
9275114,9275018,2,360,,
9275199,9275110,2,180,,
9275199,9275113,2,240,,
9310004,9310013,2,240,,
9310008,9310009,2,1500,,
9310009,9310008,2,1500,,
9310013,9310004,2,240,,
9310016,9310533,2,180,,
9310016,9310578,2,120,,
9310042,9310109,2,138,,
9310109,9310042,2,138,,
9310507,9310543,2,240,,
9310511,9311010,2,120,,
9310533,9310016,2,180,,
9310533,9310578,2,120,,
9310543,9310507,2,240,,
9310578,9310016,2,120,,
9310578,9310533,2,120,,
9310609,9310616,2,420,,
9310614,9310747,2,780,,
9310616,9310609,2,420,,
9310747,9310614,2,780,,
9310935,9311470,2,420,,
9311010,9310511,2,120,,
9311307,9311308,2,300,,
9311308,9311307,2,300,,
9311470,9310935,2,420,,
9320006,9320009,2,120,,
9320009,9320006,2,120,,
9320025,9320037,2,180,,
9320037,9320025,2,180,,
9320247,9320266,2,120,,
9320266,9320247,2,120,,
9320818,9320822,2,600,,
9320818,9320825,2,180,,
9320822,9320818,2,600,,
9320822,9320825,2,780,,
9320825,9320818,2,180,,
9320825,9320822,2,780,,
9321013,9321014,2,300,,
9321014,9321013,2,300,,
9321025,9321027,2,300,,
9321027,9321025,2,300,,
9321068,9321070,2,300,,
9321070,9321068,2,300,,
9321301,9321302,2,300,,
9321302,9321301,2,300,,
9321635,9321810,2,300,,
9321733,9321734,2,1740,,
9321734,9321733,2,1740,,
9321741,9321747,2,360,,
9321747,9321741,2,360,,
9321810,9321635,2,300,,
